,n_contracts,n_valid_contracts,total_value,avg_value,max_value,min_value,data_completeness,avg_sessions,top_status,top_status_pct,top_operator,top_operator_pct
ALPHAVILLE,1652,1631,77569468.39,47559.45333537707,124526.12,3000.0,0.9872881355932204,14.933414043583536,ATIVO,0.4297820823244552,BRADESCO,0.42070217917675545
BH,807,757,21331388.354599997,28178.848552972257,84354.34,8.0,0.9380421313506815,12.565055762081784,ATIVO,0.4312267657992565,BRADESCO REEMBOLSO,0.3940520446096654
OSASCO,5,4,15450.0,3862.5,6200.0,3075.0,0.8,12.2,ATIVO,0.6,AMIL,1.0
BRASILIA,1,0,0.0,,,,0.0,13.0,ATIVO,1.0,AMIL,1.0
DOMICILIAR,1622,386,16678035.16,43207.34497409326,103540.33,2600.0,0.2379778051787916,16.323057953144268,ATIVO,0.4315659679408138,BRADESCO,0.3884093711467324
SAO JOSE DOS CAMPOS,841,731,32521622.850000005,44489.22414500685,158214.06,2600.0,0.8692033293697978,16.274673008323425,ATIVO,0.4399524375743163,SULAMERICA ,0.4268727705112961
MORUMBI,59,0,0.0,,,,0.0,16.016949152542374,ATIVO,0.4406779661016949,SULAMERICA ,0.5932203389830508
LINS,65,12,488200.57,40683.380833333336,59193.82,8800.0,0.18461538461538463,16.53846153846154,ATIVO,0.4,SULAMERICA ,0.8769230769230769
PAULINIA,251,218,11587072.35,53151.70802752293,101950.24,6167.61,0.8685258964143426,16.302788844621514,ATIVO,0.44223107569721115,VIVEST,0.3346613545816733
CAMPINAS,194,149,5376295.639999999,36082.5210738255,89595.06,3681.72,0.7680412371134021,16.298969072164947,ATIVO,0.44329896907216493,SULAMERICA,0.36082474226804123
